Vb-droof,FALSE
Vb-dfloor,FALSE
Sd-Sa,TRUE
Periods [s],0.32,0.32
Heights [m],3.0,3.0
Gamma participation factors,1.275,1.275
Sdy [m],0.0313963893988,0.0313963893988
Say [g],0.449613939899,0.449613939899
Sd1 [m],0.00328235294118,0.00641960784314,0.0095568627451,0.0126941176471,0.015831372549,0.018968627451,0.0221058823529,0.0252431372549,0.0283803921569,0.0315176470588,0.0346549019608,0.0377921568627,0.0409294117647,0.0440666666667,0.0472039215686,0.0503411764706,0.0534784313725,0.0566156862745,0.0597529411765,0.0628901960784,0.0660274509804,0.0691647058824,0.0723019607843,0.0754392156863,0.0785764705882,0.0817137254902,0.0848509803922,0.0879882352941,0.0911254901961,0.094262745098,0.0974,0.100537254902,0.103674509804,0.106811764706,0.109949019608,0.11308627451,0.116223529412,0.119360784314,0.122498039216,0.125635294118,0.12877254902,0.131909803922,0.135047058824,0.138184313725,0.141321568627,0.144458823529,0.147596078431,0.150733333333,0.153870588235,0.157007843137,0.160145098039,0.163282352941,0.166419607843,0.169556862745,0.172694117647,0.175831372549,0.178968627451,0.182105882353,0.185243137255,0.188380392157,0.191517647059,0.194654901961,0.197792156863,0.200929411765,0.204066666667,0.207203921569,0.210341176471,0.213478431373,0.216615686275,0.219752941176,0.222890196078,0.22602745098,0.229164705882,0.232301960784,0.235439215686,0.238576470588,0.24171372549,0.244850980392,0.247988235294,0.251125490196,0.254262745098,0.2574,0.260537254902,0.263674509804,0.266811764706,0.269949019608,0.27308627451,0.276223529412,0.279360784314,0.282498039216,0.285635294118,0.28877254902,0.291909803922,0.295047058824,0.298184313725,0.301321568627,0.304458823529,0.307596078431,0.310733333333,0.313870588235
Sa1 [g],0.0721866087596,0.131796542527,0.184013845385,0.229434485208,0.26926792621,0.304092607799,0.33439494493,0.359819986151,0.378895340241,0.392755975432,0.404653422332,0.415950519241,0.426147704853,0.434789239029,0.44148511338,0.446301059657,0.449368541362,0.449613939899,0.447089840667,0.440691950253,0.433286172993,0.425398362894,0.417238861558,0.408487774464,0.399088134096,0.389039940452,0.380008397888,0.373702531926,0.371336188896,0.371476416631,0.371068879776,0.370363358984,0.369373000604,0.368128479455,0.365661347741,0.365231900302,0.364912005782,0.364530761627,0.364101314188,0.363676248866,0.363264329894,0.362804207638,0.362317792682,0.361949694878,0.361621036123,0.361270466786,0.360968100732,0.360683263145,0.360380897091,0.360087295271,0.359789311334,0.359482563163,0.359188961343,0.358890977406,0.358575465002,0.358255570481,0.35793567596,0.35764207414,0.357357236553,0.357063634733,0.356765650796,0.356454520508,0.356139008104,0.3558234957,0.355499219063,0.355170560309,0.354837519438,0.354478185867,0.354083795362,0.353768282958,0.353426477854,0.353084672749,0.352742867645,0.352405444657,0.352063639553,0.351713070215,0.351349354527,0.350985638839,0.350582484101,0.350166183012,0.349745499807,0.349394930469,0.349013686315,0.348636824277,0.348251198005,0.347909392901,0.347571969913,0.347234546926,0.346897123938,0.346564083067,0.346217895846,0.345884854975,0.345556196221,0.3452363017,0.344903260829,0.344561455725,0.344162683103,0.343750764132,0.343461544428,0.343146032024
Sd2 [m],0.00328235294118,0.00641960784314,0.0095568627451,0.0126941176471,0.015831372549,0.018968627451,0.0221058823529,0.0252431372549,0.0283803921569,0.0315176470588,0.0346549019608,0.0377921568627,0.0409294117647,0.0440666666667,0.0472039215686,0.0503411764706,0.0534784313725,0.0566156862745,0.0597529411765,0.0628901960784,0.0660274509804,0.0691647058824,0.0723019607843,0.0754392156863,0.0785764705882,0.0817137254902,0.0848509803922,0.0879882352941,0.0911254901961,0.094262745098,0.0974,0.100537254902,0.103674509804,0.106811764706,0.109949019608,0.11308627451,0.116223529412,0.119360784314,0.122498039216,0.125635294118,0.12877254902,0.131909803922,0.135047058824,0.138184313725,0.141321568627,0.144458823529,0.147596078431,0.150733333333,0.153870588235,0.157007843137,0.160145098039,0.163282352941,0.166419607843,0.169556862745,0.172694117647,0.175831372549,0.178968627451,0.182105882353,0.185243137255,0.188380392157,0.191517647059,0.194654901961,0.197792156863,0.200929411765,0.204066666667,0.207203921569,0.210341176471,0.213478431373,0.216615686275,0.219752941176,0.222890196078,0.22602745098,0.229164705882,0.232301960784,0.235439215686,0.238576470588,0.24171372549,0.244850980392,0.247988235294,0.251125490196,0.254262745098,0.2574,0.260537254902,0.263674509804,0.266811764706,0.269949019608,0.27308627451,0.276223529412,0.279360784314,0.282498039216,0.285635294118,0.28877254902,0.291909803922,0.295047058824,0.298184313725,0.301321568627,0.304458823529,0.307596078431,0.310733333333,0.313870588235
Sa2 [g],0.0721866087596,0.131796542527,0.184013845385,0.229434485208,0.26926792621,0.304092607799,0.33439494493,0.359819986151,0.378895340241,0.392755975432,0.404653422332,0.415950519241,0.426147704853,0.434789239029,0.44148511338,0.446301059657,0.449368541362,0.449613939899,0.447089840667,0.440691950253,0.433286172993,0.425398362894,0.417238861558,0.408487774464,0.399088134096,0.389039940452,0.380008397888,0.373702531926,0.371336188896,0.371476416631,0.371068879776,0.370363358984,0.369373000604,0.368128479455,0.365661347741,0.365231900302,0.364912005782,0.364530761627,0.364101314188,0.363676248866,0.363264329894,0.362804207638,0.362317792682,0.361949694878,0.361621036123,0.361270466786,0.360968100732,0.360683263145,0.360380897091,0.360087295271,0.359789311334,0.359482563163,0.359188961343,0.358890977406,0.358575465002,0.358255570481,0.35793567596,0.35764207414,0.357357236553,0.357063634733,0.356765650796,0.356454520508,0.356139008104,0.3558234957,0.355499219063,0.355170560309,0.354837519438,0.354478185867,0.354083795362,0.353768282958,0.353426477854,0.353084672749,0.352742867645,0.352405444657,0.352063639553,0.351713070215,0.351349354527,0.350985638839,0.350582484101,0.350166183012,0.349745499807,0.349394930469,0.349013686315,0.348636824277,0.348251198005,0.347909392901,0.347571969913,0.347234546926,0.346897123938,0.346564083067,0.346217895846,0.345884854975,0.345556196221,0.3452363017,0.344903260829,0.344561455725,0.344162683103,0.343750764132,0.343461544428,0.343146032024
